type,question,option1,option2,option3,option4,correct,explanation
mcq,Which is the first Vedic literature of India?,Upanishads,Rigveda ,Mahabharata,Ramayana,Rigveda,
mcq,The civilization of Mohenjo-daro and Harappa developed on the banks of which river?,Ganga,Sindh ,Yamuna,Godavari,Sindh,
mcq,Which king did Alexander encounter in India?,Ashoka,Chandragupta Maurya ,Bimbisara,Harishchandra,Chandragupta Maurya,
mcq,How many Mahajanapadas were there in ancient India?,14,16,18,20,2,
mcq,Who founded Buddhism?,Mahavira,Gautama Buddha ,Chanakya,Ashoka,Gautama Buddha,
mcq,Who was the founder of the Maurya Empire?,Ashoka,Chandragupta Maurya ,Bindusara,Harsha,Chandragupta Maurya,
mcq,Where was Ashoka’s famous inscription discovered?,Kosala,Bhilsa,Roulighar,Kheruraho,Roulighar / Bhilsa,
mcq,Which period of the Gupta Empire is called the 'Golden Age'?,2nd century BC,4th–6th century AD ,1st–3rd century AD,6th–8th century AD,4th–6th century AD,
mcq,Who composed the Mahabharata and Ramayana?,Ved Vyasa,Kalidasa,Banabhatta,Tulsidas,Ved Vyasa,
mcq,What was the layout of cities in the Indus Valley Civilization?,Irregular,Grid pattern ,Hilly,Fortified,Grid pattern,
mcq,Which ancient Indian thinker is the author of 'Chanakya Niti'?,Chandragupta Maurya,Ashoka,Vikramaditya,Harsha,Chandragupta Maurya,
mcq,What was the main economic activity of the Indus Valley Civilization?,Agriculture and trade,Animal husbandry,Fishing,Hunting,Agriculture and trade,
mcq,Who was the founder of Jainism?,Mahavira,Gautama Buddha,Chanakya,Ashoka,Mahavira,
mcq,"In ancient India, citizens played a major role in which activity?",Army,Trade ,Agriculture,Worship,Trade,
mcq,Which Gupta king promoted Sanskrit literature and arts?,Kumaragupta,Chandragupta I,Samudragupta ,Bimbisara,Samudragupta,
mcq,What was the main type of dwelling in the Indus Valley Civilization?,Mud houses,Stone palaces,Wooden houses,Caves,Mud houses,
mcq,After which war did Ashoka adopt Buddhism?,Kalinga War,Pataliputra War,Sindh War,Magadha War,Kalinga War,
mcq,"In ancient India, iron was primarily used for what?",Agricultural tools,Sculptures,Coins,Drums,Agricultural tools,
mcq,Who was the main deity in the Vedic period?,Indra,Buddha,Mahavira,Surya,Indra,
mcq,What is considered the main reason for the decline of the Indus Valley Civilization?,War,Environmental changes ,Foreign invasion,Death of the king,Environmental changes,
